City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
285,Bengkulu,ID,-3.8004,102.2655,83.01,73,76,6.15,broken clouds
286,Mazagao,BR,-0.115,-51.2894,77.05,97,100,2.73,overcast clouds
287,Hovd,MN,48.0056,91.6419,67.32,25,12,9.69,few clouds
288,Vitoria Da Conquista,BR,-14.8661,-40.8394,54.41,81,0,1.48,clear sky
289,Dwarka,IN,22.2394,68.9678,87.96,69,0,14.05,clear sky
290,Aitape,PG,-3.1374,142.3475,81.27,80,56,4.65,light rain
291,Samandag,TR,36.0842,35.9771,82.92,65,7,10.42,clear sky
292,Plainview,US,40.7765,-73.4673,68.52,82,100,16.11,overcast clouds
293,Richards Bay,ZA,-28.783,32.0377,68.29,57,0,3.04,clear sky
294,Faanui,PF,-16.4833,-151.75,80.17,75,100,14.03,overcast clouds
295,Portobelo,PA,9.55,-79.65,76.96,86,100,5.46,overcast clouds
296,Harper,LR,4.375,-7.7169,79.12,74,12,5.03,few clouds
297,Saldanha,ZA,-33.0117,17.9442,59.05,44,1,17.94,clear sky
298,Jinchang,CN,38.4953,102.1739,81.5,11,100,15.1,overcast clouds
299,Key Largo,US,25.0865,-80.4473,76.98,75,100,1.7,overcast clouds
300,Tevaitoa,PF,-16.7833,-151.5,80.24,73,100,13.85,overcast clouds
301,Shimoda,JP,34.6667,138.95,66.56,83,69,8.16,broken clouds
302,Artsvanist,AM,40.1544,45.5022,63.59,52,0,5.01,clear sky
303,Bubaque,GW,11.2833,-15.8333,80.11,77,94,6.35,overcast clouds
304,Djenne,ML,13.9061,-4.5533,88.54,39,27,8.84,scattered clouds
305,Black River,JM,18.0264,-77.8487,76.62,88,100,7.36,overcast clouds
306,Okhotsk,RU,59.3833,143.3,48.56,85,52,6.73,broken clouds
307,Upernavik,GL,72.7868,-56.1549,33.03,69,95,3.29,overcast clouds
308,Cascais,PT,38.6979,-9.4215,69.48,84,75,11.99,light intensity drizzle
309,Bogorodskoye,RU,56.55,37.8833,64.87,44,0,5.14,clear sky
310,Broome,US,42.2506,-75.833,63.99,93,100,10.36,overcast clouds
311,Mabaruma,GY,8.2,-59.7833,71.58,100,99,1.45,overcast clouds
312,Paamiut,GL,61.994,-49.6678,39.07,79,70,7.47,broken clouds
313,Tairua,NZ,-37.0167,175.85,56.91,91,100,6.22,overcast clouds
314,Kachug,RU,53.9606,105.8817,47.44,79,100,6.6,overcast clouds
315,College,US,64.8569,-147.8028,62.92,47,20,11.5,few clouds
316,Strezhevoy,RU,60.7333,77.5889,64.4,32,6,5.08,clear sky
317,Henties Bay,NA,-22.116,14.2845,75.06,31,0,23.26,clear sky
318,Buala,SB,-8.145,159.5921,80.11,78,100,1.23,light rain
319,Shizuishan,CN,39.2333,106.7694,84.87,11,98,9.75,overcast clouds
320,Xining,CN,36.6167,101.7667,73.36,31,100,9.93,overcast clouds
321,San Quintin,MX,30.4833,-115.95,61.25,85,83,4.47,broken clouds
