City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
464,Isangel,VU,75.87,scattered clouds,-19.55,169.2667,Tanna Lodge
467,Kathmandu,NP,80.82,broken clouds,27.7167,85.3167,Hotel Shanker Kathmandu
469,Nishihara,JP,76.28,broken clouds,26.1842,127.7558,Minshuku Agaihama
477,Sabang,ID,83.17,overcast clouds,5.8933,95.3214,Hotel Citra
478,Pouebo,NC,75.72,light rain,-20.4,164.5667,RIVÂT LODGE
480,Pointe-Noire,CG,75.27,mist,-4.7761,11.8635,Kactus Lodge
482,Srivardhan,IN,87.84,scattered clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
484,Ures,MX,81.1,overcast clouds,29.4333,-110.4,HOTEL SAHUARO HOUSE
486,Kiunga,PG,77.63,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
487,Magdalena,PH,86.36,moderate rain,14.1999,121.429,Samparada & Gestiada Residences
492,Tral,IN,81.84,broken clouds,33.9333,75.1,Tawkeers house
494,Santa Rosa,PH,89.58,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
502,Kramat,ID,83.43,light rain,-8.1311,113.4499,Padepokan HM Arum Sabil
505,Nerchinskiy Zavod,RU,81.05,few clouds,51.3088,119.61,Gostinitsa
509,Beidao,CN,89.33,few clouds,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
515,Kanniyakumari,IN,84.47,scattered clouds,8.0833,77.5667,Sparsa Kanyakumari
519,Lorengau,PG,82.2,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
520,Surt,LY,80.56,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
521,Semey,KZ,82.62,clear sky,50.4111,80.2275,Grand Hotel Semey
522,Poum,NC,78.71,overcast clouds,-20.2333,164.0167,
524,Karratha,AU,79.45,broken clouds,-20.7377,116.8463,ibis Styles Karratha
525,Marsa Matruh,EG,82.44,clear sky,31.3525,27.2453,Beau Site
529,Goundam,ML,89.8,scattered clouds,16.4145,-3.6708,
534,Segou,ML,86.04,clear sky,13.4317,-6.2157,Comme chez soi
540,Buchanan,LR,78.49,few clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
543,Saint-Pierre,RE,78.48,broken clouds,-21.3393,55.4781,Alize Plage
545,Amahai,ID,82.9,scattered clouds,-3.3333,128.9167,HOTEL ISABELA
547,Roebourne,AU,79.75,broken clouds,-20.7833,117.1333,Latitude20 Roebourne Village
549,Bonthe,SL,78.03,few clouds,7.5264,-12.505,Bonthe Holiday Village
553,Kieta,PG,77.23,light rain,-6.2167,155.6333,Uruna Bay Retreat
554,Abu Samrah,SY,85.8,clear sky,35.3029,37.1841,
555,Astana,KZ,82.35,scattered clouds,51.1801,71.446,King Hotel Astana
556,Sfantu Gheorghe,RO,75.85,broken clouds,45.8667,25.7833,Hotel Park
559,Robertsport,LR,78.24,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
563,Mattru,SL,75.11,few clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
565,Urumqi,CN,83.35,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
566,West Bay,KY,81.07,broken clouds,19.3667,-81.4167,Calypso Cove
574,Mahe,IN,84.87,scattered clouds,11.7,75.5333,Mahi Midas Sea View Hotel
575,Tenenkou,ML,88.05,broken clouds,14.4572,-4.9169,
577,Ewa Beach,US,76.98,clear sky,21.3156,-158.0072,Base Lodging
578,Boende,CD,81.34,overcast clouds,-0.2167,20.8667,
579,Khanapur,IN,85.62,scattered clouds,15.6333,74.5167,PWD Guest House Khanapur
581,Pakxan,LA,78.01,overcast clouds,18.3778,103.6601,Kong Kham Pheng Guesthouse
585,Shcherbynivka,UA,75.27,clear sky,48.3949,37.791,KAWASAKI
587,Pemba,MZ,77.7,few clouds,-12.974,40.5178,Guesthouse Samotina
589,Odweyne,SO,84.31,scattered clouds,9.4092,45.064,Eng Hiirey House
593,Lakatoro,VU,79.07,broken clouds,-16.0999,167.4164,Lakatoro Palm Lodge
595,Alghero,IT,75.29,few clouds,40.5589,8.3181,Smy Carlos V Alghero
599,Gigmoto,PH,85.89,overcast clouds,13.7796,124.39,Cj's Travellers Inn
609,Angoche,MZ,75.11,broken clouds,-16.2325,39.9086,Guest House HESADA
610,Coahuayana,MX,75.34,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
614,Keti Bandar,PK,88.38,clear sky,24.1447,67.4497,Haji laloo memon house
625,Bull Savanna,JM,75.79,overcast clouds,17.8868,-77.5902,Big Red's
630,Tubuala,PA,77.07,overcast clouds,9.5167,-79.0333,
636,Zeya,RU,76.21,broken clouds,53.75,127.2667,Kapital Inn
643,Ugoofaaru,MV,82.36,overcast clouds,5.6667,73.0,Ungoofaaru Inn
649,Boa Vista,BR,76.98,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
656,Ankola,IN,86.76,scattered clouds,14.6667,74.3,Hotel Kamat Plus
657,Izhma,RU,76.05,scattered clouds,65.0083,53.9113,
662,Kudahuvadhoo,MV,82.56,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
667,Bajah,YE,86.99,overcast clouds,13.8141,44.6301,باجة
668,Tarakan,ID,84.34,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
672,Makakilo City,US,75.56,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
